date,venue,toss_winner,winner,team1,team2
2015-07-12,"""Grange Cricket Club Ground",Netherlands,Netherlands,Netherlands,United Arab Emirates
2015-07-13,"""Civil Service Cricket Club",Ireland,Ireland,Nepal,Ireland
2015-07-15,"""Civil Service Cricket Club",Ireland,Papua New Guinea,Ireland,Papua New Guinea
2015-07-15,"""Civil Service Cricket Club",Hong Kong,Hong Kong,Hong Kong,Nepal
2015-07-17,Harare Sports Club,India,India,Zimbabwe,India
2015-07-17,"""The Village",Papua New Guinea,Papua New Guinea,Nepal,Papua New Guinea
2015-07-17,"""The Village",Ireland,Hong Kong,Ireland,Hong Kong
2015-07-19,Harare Sports Club,Zimbabwe,Zimbabwe,Zimbabwe,India
2015-07-25,"""The Village",Scotland,Scotland,Hong Kong,Scotland
2015-07-25,"""The Village",Netherlands,Netherlands,Ireland,Netherlands
2015-07-30,R Premadasa Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan
2015-08-01,R Premadasa Stadium,Sri Lanka,Pakistan,Sri Lanka,Pakistan
2015-08-09,Harare Sports Club,Zimbabwe,New Zealand,Zimbabwe,New Zealand
2015-08-14,Kingsmead,South Africa,South Africa,South Africa,New Zealand
2015-08-16,SuperSport Park,New Zealand,New Zealand,South Africa,New Zealand
2015-08-31,Sophia Gardens,Australia,England,England,Australia
2015-09-27,Harare Sports Club,Pakistan,Pakistan,Zimbabwe,Pakistan
2015-09-29,Harare Sports Club,Pakistan,Pakistan,Zimbabwe,Pakistan
2015-10-02,Himachal Pradesh Cricket Association Stadium,South Africa,South Africa,India,South Africa
2015-10-05,Barabati Stadium,South Africa,South Africa,India,South Africa
2015-11-09,Pallekele International Cricket Stadium,West Indies,Sri Lanka,Sri Lanka,West Indies
2015-11-11,R Premadasa Stadium,West Indies,West Indies,Sri Lanka,West Indies
2015-11-13,Shere Bangla National Stadium,Bangladesh,Bangladesh,Bangladesh,Zimbabwe
2015-11-15,Shere Bangla National Stadium,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe
2015-11-21,Sheikh Zayed Stadium,Oman,Oman,Hong Kong,Oman
2015-11-22,Sheikh Zayed Stadium,United Arab Emirates,United Arab Emirates,United Arab Emirates,Oman
2015-11-25,Sheikh Zayed Stadium,Hong Kong,Oman,Hong Kong,Oman
2015-11-26,Dubai International Cricket Stadium,England,England,England,Pakistan
2015-11-26,Sheikh Zayed Stadium,Hong Kong,Hong Kong,Hong Kong,Oman
2015-11-27,Dubai International Cricket Stadium,England,England,England,Pakistan
2016-01-07,Bay Oval,Sri Lanka,New Zealand,New Zealand,Sri Lanka
2016-01-10,Eden Park,New Zealand,New Zealand,New Zealand,Sri Lanka
2016-01-15,Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,Bangladesh,Zimbabwe
2016-01-15,Eden Park,New Zealand,Pakistan,New Zealand,Pakistan
2016-01-17,Seddon Park,Pakistan,New Zealand,New Zealand,Pakistan
2016-01-17,Sheikh Abu Naser Stadium,Bangladesh,Bangladesh,Bangladesh,Zimbabwe
2016-01-20,Sheikh Abu Naser Stadium,Zimbabwe,Zimbabwe,Bangladesh,Zimbabwe
2016-01-22,Westpac Stadium,Pakistan,New Zealand,New Zealand,Pakistan
2016-01-22,Sheikh Abu Naser Stadium,Zimbabwe,Zimbabwe,Bangladesh,Zimbabwe
2016-01-26,Adelaide Oval,Australia,India,Australia,India
2016-01-29,Melbourne Cricket Ground,Australia,India,Australia,India
2016-01-30,"""Mission Road Ground",Hong Kong,Hong Kong,Hong Kong,Scotland
2016-01-31,"""Mission Road Ground",Hong Kong,Scotland,Hong Kong,Scotland
2016-01-31,Sydney Cricket Ground,Australia,India,Australia,India
2016-02-03,ICC Academy,United Arab Emirates,Netherlands,United Arab Emirates,Netherlands
2016-02-04,ICC Academy,United Arab Emirates,United Arab Emirates,United Arab Emirates,Scotland
2016-02-07,Tony Ireland Stadium,Papua New Guinea,Ireland,Ireland,Papua New Guinea
2016-02-09,Maharashtra Cricket Association Stadium,Sri Lanka,Sri Lanka,India,Sri Lanka
2016-02-09,Tony Ireland Stadium,Papua New Guinea,Papua New Guinea,Ireland,Papua New Guinea
2016-02-12,JSCA International Stadium Complex,Sri Lanka,India,India,Sri Lanka
2016-02-14,Sheikh Zayed Stadium,United Arab Emirates,Ireland,United Arab Emirates,Ireland
2016-02-14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,India,India,Sri Lanka
2016-02-16,Sheikh Zayed Stadium,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ireland
2016-02-19,Khan Shaheb Osman Ali Stadium,Oman,Oman,Hong Kong,Oman
2016-02-19,Newlands,South Africa,South Africa,South Africa,England
2016-02-21,Khan Shaheb Osman Ali Stadium,Hong Kong,United Arab Emirates,Hong Kong,United Arab Emirates
2016-02-21,New Wanderers Stadium,South Africa,South Africa,South Africa,England
2016-02-22,Shere Bangla National Stadium,Oman,United Arab Emirates,Oman,United Arab Emirates
2016-02-24,Shere Bangla National Stadium,Bangladesh,India,India,Bangladesh
2016-02-25,Shere Bangla National Stadium,United Arab Emirates,Sri Lanka,Sri Lanka,United Arab Emirates
2016-02-26,Shere Bangla National Stadium,United Arab Emirates,Bangladesh,Bangladesh,United Arab Emirates
2016-02-27,Shere Bangla National Stadium,India,India,India,Pakistan
2016-02-28,Shere Bangla National Stadium,Bangladesh,Bangladesh,Bangladesh,Sri Lanka
2016-02-29,Shere Bangla National Stadium,United Arab Emirates,Pakistan,Pakistan,United Arab Emirates
2016-03-01,Shere Bangla National Stadium,India,India,India,Sri Lanka
2016-03-02,Shere Bangla National Stadium,Pakistan,Bangladesh,Bangladesh,Pakistan
2016-03-03,Shere Bangla National Stadium,United Arab Emirates,India,India,United Arab Emirates
2016-03-04,Shere Bangla National Stadium,Pakistan,Pakistan,Pakistan,Sri Lanka
2016-03-04,Kingsmead,Australia,South Africa,South Africa,Australia
2016-03-06,New Wanderers Stadium,Australia,Australia,South Africa,Australia
2016-03-06,Shere Bangla National Stadium,India,India,Bangladesh,India
2016-03-08,"""Vidarbha Cricket Association Stadium",Hong Kong,Zimbabwe,Hong Kong,Zimbabwe
2016-03-09,Newlands,South Africa,Australia,South Africa,Australia
2016-03-09,Himachal Pradesh Cricket Association Stadium,Ireland,Oman,Ireland,Oman
2016-03-09,Himachal Pradesh Cricket Association Stadium,Netherlands,Bangladesh,Bangladesh,Netherlands
2016-03-10,"""Vidarbha Cricket Association Stadium",Zimbabwe,Zimbabwe,Scotland,Zimbabwe
2016-03-12,"""Vidarbha Cricket Association Stadium",Hong Kong,Scotland,Hong Kong,Scotland
2016-03-13,Himachal Pradesh Cricket Association Stadium,Ireland,Netherlands,Ireland,Netherlands
2016-03-13,Himachal Pradesh Cricket Association Stadium,Oman,Bangladesh,Bangladesh,Oman
2016-03-15,"""Vidarbha Cricket Association Stadium",New Zealand,New Zealand,India,New Zealand
2016-03-16,Wankhede Stadium,West Indies,West Indies,England,West Indies
2016-03-16,Eden Gardens,Pakistan,Pakistan,Bangladesh,Pakistan
2016-03-18,Himachal Pradesh Cricket Association Stadium,New Zealand,New Zealand,Australia,New Zealand
2016-03-18,Wankhede Stadium,England,England,England,South Africa
2016-03-19,Eden Gardens,India,India,India,Pakistan
2016-03-20,M Chinnaswamy Stadium,West Indies,West Indies,Sri Lanka,West Indies
2016-03-21,M Chinnaswamy Stadium,Australia,Australia,Australia,Bangladesh
2016-03-22,"""Punjab Cricket Association IS Bindra Stadium",New Zealand,New Zealand,New Zealand,Pakistan
2016-03-23,M Chinnaswamy Stadium,Bangladesh,India,India,Bangladesh
2016-03-25,"""Vidarbha Cricket Association Stadium",West Indies,West Indies,South Africa,West Indies
2016-03-25,"""Punjab Cricket Association IS Bindra Stadium",Australia,Australia,Australia,Pakistan
2016-03-26,Eden Gardens,New Zealand,New Zealand,Bangladesh,New Zealand
2016-03-26,Feroz Shah Kotla,Sri Lanka,England,England,Sri Lanka
2016-03-27,"""Punjab Cricket Association IS Bindra Stadium",Australia,India,India,Australia
2016-03-28,Feroz Shah Kotla,South Africa,South Africa,South Africa,Sri Lanka
2016-03-30,Feroz Shah Kotla,England,England,England,New Zealand
2016-03-31,Wankhede Stadium,West Indies,West Indies,India,West Indies
2016-04-03,Eden Gardens,West Indies,West Indies,England,West Indies
2016-06-18,Harare Sports Club,India,Zimbabwe,Zimbabwe,India
2016-06-20,Harare Sports Club,Zimbabwe,India,Zimbabwe,India
2016-06-22,Harare Sports Club,Zimbabwe,India,Zimbabwe,India
2016-07-05,The Rose Bowl,Sri Lanka,England,England,Sri Lanka
2016-08-27,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,West Indies
2016-09-05,"""Bready Cricket Club",Hong Kong,Hong Kong,Ireland,Hong Kong
2016-09-06,Pallekele International Cricket Stadium,Sri Lanka,Australia,Sri Lanka,Australia
2016-09-07,Old Trafford,England,Pakistan,England,Pakistan
2016-09-09,R Premadasa Stadium,Sri Lanka,Australia,Sri Lanka,Australia
2016-09-23,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,West Indies
2016-09-24,Dubai International Cricket Stadium,West Indies,Pakistan,Pakistan,West Indies
2016-09-27,Sheikh Zayed Stadium,Pakistan,Pakistan,Pakistan,West Indies
2017-01-03,McLean Park,Bangladesh,New Zealand,New Zealand,Bangladesh
2017-01-06,Bay Oval,Bangladesh,New Zealand,New Zealand,Bangladesh
2017-01-08,Bay Oval,Bangladesh,New Zealand,New Zealand,Bangladesh
2017-01-14,Sheikh Zayed Stadium,Scotland,Scotland,Hong Kong,Scotland
2017-01-15,Sheikh Zayed Stadium,Oman,Netherlands,Netherlands,Oman
2017-01-16,Sheikh Zayed Stadium,Oman,Oman,Hong Kong,Oman
2017-01-17,Sheikh Zayed Stadium,Netherlands,Scotland,Netherlands,Scotland
2017-01-18,Dubai International Cricket Stadium,Ireland,Ireland,United Arab Emirates,Ireland
2017-01-18,Dubai International Cricket Stadium,Hong Kong,Hong Kong,Hong Kong,Netherlands
2017-01-19,Dubai International Cricket Stadium,Oman,Scotland,Oman,Scotland
2017-01-20,Dubai International Cricket Stadium,Scotland,Ireland,Ireland,Scotland
2017-01-20,SuperSport Park,Sri Lanka,South Africa,South Africa,Sri Lanka
2017-01-22,New Wanderers Stadium,South Africa,Sri Lanka,South Africa,Sri Lanka
2017-01-25,Newlands,South Africa,Sri Lanka,South Africa,Sri Lanka
2017-01-26,Green Park,England,England,India,England
2017-01-29,"""Vidarbha Cricket Association Stadium",England,India,India,England
2017-02-01,M Chinnaswamy Stadium,England,India,India,England
2017-02-17,Melbourne Cricket Ground,Sri Lanka,Sri Lanka,Australia,Sri Lanka
2017-02-17,Eden Park,New Zealand,South Africa,New Zealand,South Africa
2017-02-19,"""Simonds Stadium",Sri Lanka,Sri Lanka,Australia,Sri Lanka
2017-02-22,Adelaide Oval,Sri Lanka,Australia,Australia,Sri Lanka
2017-03-26,"""Kensington Oval",Pakistan,Pakistan,West Indies,Pakistan
2017-03-30,"""Queen's Park Oval",West Indies,Pakistan,West Indies,Pakistan
2017-04-01,"""Queen's Park Oval",Pakistan,West Indies,West Indies,Pakistan
2017-04-02,"""Queen's Park Oval",Pakistan,Pakistan,West Indies,Pakistan
2017-04-04,R Premadasa Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh
2017-04-06,R Premadasa Stadium,Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2017-04-12,Sheikh Zayed Stadium,United Arab Emirates,United Arab Emirates,United Arab Emirates,Papua New Guinea
2017-04-14,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,United Arab Emirates,Papua New Guinea
2017-04-14,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,United Arab Emirates,Papua New Guinea
2017-06-21,The Rose Bowl,South Africa,England,England,South Africa
2017-06-23,County Ground,England,South Africa,England,South Africa
2017-06-25,Sophia Gardens,South Africa,England,England,South Africa
2017-07-09,"""Sabina Park",West Indies,West Indies,West Indies,India
2017-09-06,"""R.Premadasa Stadium",India,India,Sri Lanka,India
2017-09-12,Gaddafi Stadium,ICC World XI,Pakistan,Pakistan,ICC World XI
2017-09-13,Gaddafi Stadium,Pakistan,ICC World XI,Pakistan,ICC World XI
2017-09-15,Gaddafi Stadium,ICC World XI,Pakistan,Pakistan,ICC World XI
2017-09-16,Riverside Ground,England,West Indies,West Indies,England
2017-10-07,JSCA International Stadium Complex,India,India,Australia,India
2017-10-10,Barsapara Cricket Stadium,Australia,Australia,India,Australia
2017-10-26,Sheikh Zayed Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan
2017-10-26,Mangaung Oval,South Africa,South Africa,South Africa,Bangladesh
2017-10-27,Sheikh Zayed Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan
2017-10-29,Gaddafi Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka
2017-10-29,Senwes Park,Bangladesh,South Africa,South Africa,Bangladesh
2017-11-01,Arun Jaitley Stadium,New Zealand,India,India,New Zealand
2017-11-04,Saurashtra Cricket Association Stadium,New Zealand,New Zealand,New Zealand,India
2017-11-07,Greenfield International Stadium,New Zealand,India,India,New Zealand
2017-12-20,Barabati Stadium,Sri Lanka,India,India,Sri Lanka
2017-12-22,Holkar Cricket Stadium,Sri Lanka,India,India,Sri Lanka
2017-12-24,Wankhede Stadium,India,India,Sri Lanka,India
2017-12-29,Saxton Oval,West Indies,New Zealand,New Zealand,West Indies
2018-01-03,Bay Oval,New Zealand,New Zealand,New Zealand,West Indies
2018-01-22,Westpac Stadium,New Zealand,New Zealand,Pakistan,New Zealand
2018-01-25,Eden Park,Pakistan,Pakistan,Pakistan,New Zealand
2018-01-28,Bay Oval,Pakistan,Pakistan,Pakistan,New Zealand
2018-02-03,Sydney Cricket Ground,Australia,Australia,New Zealand,Australia
2018-02-07,Bellerive Oval,Australia,Australia,England,Australia
2018-02-10,Melbourne Cricket Ground,Australia,Australia,England,Australia
2018-02-13,Westpac Stadium,England,New Zealand,New Zealand,England
2018-02-15,"""Shere Bangla National Stadium",Bangladesh,Sri Lanka,Bangladesh,Sri Lanka
2018-02-16,Eden Park,New Zealand,Australia,New Zealand,Australia
2018-02-18,The Wanderers Stadium,South Africa,India,India,South Africa
2018-02-18,Seddon Park,New Zealand,England,England,New Zealand
2018-02-18,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh
2018-02-21,SuperSport Park,South Africa,South Africa,India,South Africa
2018-02-21,Eden Park,New Zealand,Australia,New Zealand,Australia
2018-02-24,Newlands,South Africa,India,India,South Africa
2018-03-06,"""R.Premadasa Stadium",Sri Lanka,Sri Lanka,India,Sri Lanka
2018-03-08,"""R.Premadasa Stadium",India,India,Bangladesh,India
2018-03-10,"""R.Premadasa Stadium",Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2018-03-12,"""R.Premadasa Stadium",India,India,Sri Lanka,India
2018-03-14,"""R.Premadasa Stadium",Bangladesh,India,India,Bangladesh
2018-03-16,"""R.Premadasa Stadium",Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2018-03-18,"""R.Premadasa Stadium",India,India,Bangladesh,India
2018-04-01,National Stadium,West Indies,Pakistan,Pakistan,West Indies
2018-04-02,National Stadium,Pakistan,Pakistan,Pakistan,West Indies
2018-04-03,National Stadium,West Indies,Pakistan,West Indies,Pakistan
2018-05-31,Lord's,ICC World XI,West Indies,West Indies,ICC World XI
2018-06-12,Hazelaarweg,Ireland,Netherlands,Netherlands,Ireland
2018-06-12,"""Grange Cricket Club",Pakistan,Pakistan,Pakistan,Scotland
2018-06-13,"""Grange Cricket Club",Pakistan,Pakistan,Pakistan,Scotland
2018-06-13,Hazelaarweg,Ireland,Netherlands,Ireland,Netherlands
2018-06-16,Sportpark Het Schootsveld,Ireland,Ireland,Ireland,Scotland
2018-06-19,VRA Ground,Netherlands,Scotland,Netherlands,Scotland
2018-06-20,VRA Ground,Scotland,Scotland,Scotland,Netherlands
2018-06-27,"""The Village",Ireland,India,India,Ireland
2018-06-27,Edgbaston,Australia,England,England,Australia
2018-06-29,"""The Village",Ireland,India,India,Ireland
2018-07-01,Harare Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe
2018-07-02,Harare Sports Club,Australia,Australia,Pakistan,Australia
2018-07-03,Harare Sports Club,Zimbabwe,Australia,Australia,Zimbabwe
2018-07-03,Old Trafford,India,India,England,India
2018-07-04,Harare Sports Club,Pakistan,Pakistan,Zimbabwe,Pakistan
2018-07-05,Harare Sports Club,Australia,Pakistan,Pakistan,Australia
2018-07-06,Sophia Gardens,England,England,India,England
2018-07-06,Harare Sports Club,Zimbabwe,Australia,Zimbabwe,Australia
2018-07-08,County Ground,India,India,England,India
2018-07-08,Harare Sports Club,Australia,Pakistan,Australia,Pakistan
2018-07-31,"""Warner Park",West Indies,West Indies,Bangladesh,West Indies
2018-08-04,Central Broward Regional Park Stadium Turf Ground,West Indies,Bangladesh,Bangladesh,West Indies
2018-08-05,Central Broward Regional Park Stadium Turf Ground,Bangladesh,Bangladesh,Bangladesh,West Indies
2018-08-14,"""R.Premadasa Stadium",South Africa,Sri Lanka,South Africa,Sri Lanka
2018-10-09,Buffalo Park,South Africa,South Africa,South Africa,Zimbabwe
2018-10-12,Senwes Park,Zimbabwe,South Africa,Zimbabwe,South Africa
2018-10-22,Tolerance Oval,United Arab Emirates,Australia,United Arab Emirates,Australia
2018-10-24,Sheikh Zayed Stadium,Australia,Pakistan,Pakistan,Australia
2018-10-26,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Australia
2018-10-27,"""R.Premadasa Stadium",Sri Lanka,England,England,Sri Lanka
2018-10-28,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Australia
2018-10-31,Sheikh Zayed Stadium,Pakistan,Pakistan,Pakistan,New Zealand
2018-11-02,Dubai International Cricket Stadium,New Zealand,Pakistan,New Zealand,Pakistan
2018-11-04,Eden Gardens,India,India,West Indies,India
2018-11-04,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,New Zealand
2018-11-06,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,India,India,West Indies
2018-11-11,"""MA Chidambaram Stadium",West Indies,India,West Indies,India
2018-11-17,Carrara Oval,Australia,South Africa,South Africa,Australia
2018-11-21,"""Brisbane Cricket Ground",India,Australia,Australia,India
2018-11-25,Sydney Cricket Ground,Australia,India,Australia,India
2018-12-17,Sylhet International Cricket Stadium,Bangladesh,West Indies,Bangladesh,West Indies
2018-12-20,"""Shere Bangla National Stadium",West Indies,Bangladesh,Bangladesh,West Indies
2018-12-22,"""Shere Bangla National Stadium",Bangladesh,West Indies,Bangladesh,West Indies
2019-01-11,Eden Park,Sri Lanka,New Zealand,New Zealand,Sri Lanka
2019-01-31,ICC Academy,Nepal,United Arab Emirates,United Arab Emirates,Nepal
2019-02-01,ICC Academy,United Arab Emirates,Nepal,United Arab Emirates,Nepal
2019-02-01,Newlands,Pakistan,South Africa,South Africa,Pakistan
2019-02-03,ICC Academy,United Arab Emirates,Nepal,United Arab Emirates,Nepal
2019-02-03,The Wanderers Stadium,Pakistan,South Africa,South Africa,Pakistan
2019-02-06,SuperSport Park,South Africa,Pakistan,South Africa,Pakistan
2019-02-06,Westpac Stadium,India,New Zealand,New Zealand,India
2019-02-08,Eden Park,New Zealand,India,New Zealand,India
2019-02-10,Seddon Park,India,New Zealand,New Zealand,India
2019-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,Oman,Ireland
2019-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Netherlands,Netherlands,Scotland
2019-02-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Netherlands,Oman,Netherlands
2019-02-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Scotland,Ireland,Scotland
2019-02-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Scotland,Oman,Scotland
